Client names,Link,Logo,Sector,Notes
Karnataka public school,https://www.karnatakapublicschool.com/,,Education,
Rise pre and international school ,https://riseschool.in/,,Education,
Vignature,https://vignature.in/,,Eco-Friendly Products,
Ultrakool,https://ultrakol.com/,,Automotive Aftermarket Services,
Bhavya Ayurveda,https://www.amazon.in/stores/BhavyaAyurveda/page/46DA020C-DDC7-4122-BA4F-1A4E11241665?lp_asin=B0B714BLT6&ref_=ast_bln,,Ayurvedic Beauty & Personal Care,
Interview Cracker,https://interviewcracker.com/,,Career Coaching / Career Services,
Aashirs,https://aashirs.com/?srsltid=AfmBOopzcFxVRgVi8_5NzS0P1grUy5x0imDBJFnZYrQWUEUxrej25I7z,,Fashion Accessories,
K12,http://www.k12technoservices.com/,,Agency,
Housewise,https://housewise.in/,,Electric Vehicle (EV) Industry,
E-motorad,https://www.emotorad.com/,,Jewelry Industry,
Clear skin,clearskin.in,,Skin treatment,
Happy 60plus,https://happy60plus.com/,,Old age care,
Shiksha Niketan school ,https://shikshaniketanschool.org/,,Education,
ACadru,https://acadru.com/,,Education,
Your PHYSIO,https://www.fixhealth.com/home,,Healthcare,
TRU-WAY,https://truwaymm.com/,,Custom machinery,
LogiCOY,https://www.logicoy.com/,,HealthTech,
ORCHIDS,https://www.orchidsinternationalschool.com/,,Education,
